Time,XGyro,YGyro,ZGyro,XAccel,YAccel,ZAccel,XMag,YMag,ZMag,lat,long,height
0.000,1.17,0.80,0.97,-0.0378,0.1549,-1.1162,-2.1125,0.0648,-2.6269,-33.956388,18.457656,197.600
0.000,-3.64,1.25,0.50,-0.0496,0.1124,-1.1107,-2.0604,0.0555,-2.5904,-33.956456,18.457610,196.900
0.000,-1.42,1.81,-0.24,-0.0763,0.1294,-1.1065,-2.0457,0.0683,-2.5465,-33.956536,18.457560,196.200
0.000,2.42,-1.02,-1.18,-0.0500,0.1982,-1.1112,-2.0638,0.0939,-2.5587,-33.956608,18.457508,195.600
0.000,-0.63,-1.22,-0.54,-0.0910,0.1574,-1.0499,-2.1013,0.0816,-2.5770,-33.956676,18.457456,195.000
0.000,-2.43,-3.88,1.22,-0.0343,0.1723,-1.0935,-2.0837,0.0690,-2.5518,-33.956740,18.457400,194.600
0.000,-0.59,0.22,0.52,-0.0609,0.1443,-1.0997,-2.1315,0.0848,-2.6339,-33.956808,18.457338,194.100
0.000,0.01,0.02,-1.16,-0.0339,0.1310,-1.1198,-2.0370,0.0339,-2.5901,-33.956880,18.457292,193.800
0.000,1.84,0.87,-1.06,-0.0159,0.1386,-1.1154,-2.0510,0.0282,-2.5780,-33.956940,18.457258,193.400
0.000,-2.46,-0.17,-0.47,0.0186,0.0986,-1.1184,-2.0106,0.0298,-2.5957,-33.957012,18.457212,192.900
0.000,-1.14,-0.84,-0.08,-0.0275,0.1477,-1.1210,-2.0853,0.0933,-2.5384,-33.957080,18.457166,192.600
0.000,0.38,1.08,0.59,-0.0424,0.1817,-1.0599,-2.0951,0.0557,-2.5685,-33.957152,18.457122,192.300
0.000,2.29,0.51,0.81,-0.0396,0.1580,-1.1039,-2.0609,0.0627,-2.5780,-33.957232,18.457082,192.000
0.000,1.15,0.07,0.34,-0.0362,0.1324,-1.1572,-2.0795,-0.0040,-2.5781,-33.957312,18.457036,191.600
0.000,0.22,0.19,-0.51,-0.1915,0.1890,-1.1296,-2.0331,0.0180,-2.6050,-33.957380,18.456984,191.300
0.000,-0.34,1.72,3.23,-0.0603,0.1651,-1.0901,-2.0799,0.0565,-2.6315,-33.957448,18.456950,190.900
0.000,-7.45,-9.26,-1.04,0.0504,0.0677,-0.9731,-2.0485,0.0569,-2.5987,-33.957512,18.456946,190.700
0.000,-1.77,-0.14,0.00,0.1158,0.1281,-1.1069,-2.0397,0.0670,-2.6189,-33.957560,18.456928,190.800
0.000,-0.04,-0.74,0.03,0.0763,0.1367,-1.1162,-2.0109,0.0535,-2.5836,-33.957612,18.456906,190.800
0.000,-1.11,-0.08,-0.24,0.0324,0.1081,-1.1094,-1.9712,0.0341,-2.6372,-33.957664,18.456878,190.800
0.000,0.41,0.37,0.03,0.0382,0.1192,-1.0922,-2.0871,0.0870,-2.6046,-33.957720,18.456842,190.500
0.000,-0.77,2.51,0.33,-0.0072,0.1187,-1.1010,-1.9994,0.0893,-2.5261,-33.957788,18.456796,190.200
0.000,-1.91,0.37,-0.36,0.0162,0.1367,-1.0986,-2.0427,0.0919,-2.6168,-33.957848,18.456740,190.100
0.000,-2.25,-0.22,0.15,0.0357,0.1449,-1.1412,-2.0250,0.1371,-2.5651,-33.957908,18.456686,189.900
0.000,-1.59,-0.20,0.61,0.0051,0.1617,-1.0634,-2.0539,0.0952,-2.5518,-33.957964,18.456638,189.800
0.000,3.21,0.04,0.39,0.0129,0.1957,-1.0998,-2.0518,0.1165,-2.5919,-33.958028,18.456584,189.700
0.000,1.84,1.68,1.06,0.0056,0.1474,-1.0850,-2.0812,0.0971,-2.5758,-33.958092,18.456534,189.700
0.000,-1.57,-0.56,1.98,0.0178,0.1823,-1.1248,-2.0427,0.1121,-2.6242,-33.958168,18.456486,189.400
0.000,0.15,0.19,0.15,0.0271,0.1436,-1.0929,-2.0774,0.0840,-2.6657,-33.958244,18.456434,189.200
0.000,-4.59,-0.84,-1.79,0.0006,0.1185,-1.1133,-2.0374,0.0819,-2.6226,-33.958320,18.456384,189.000
0.000,-2.61,1.68,-0.07,-0.0835,0.0887,-1.0546,-2.0254,0.0940,-2.5694,-33.958400,18.456342,188.800
0.000,2.05,-0.04,1.46,-0.0239,0.1364,-1.1068,-1.9714,0.1002,-2.5619,-33.958484,18.456294,188.600
0.000,-0.34,-0.92,0.52,-0.0192,0.1355,-1.1182,-2.0421,0.0657,-2.6221,-33.958552,18.456236,188.800
0.000,1.06,-1.77,4.94,-0.0351,0.2204,-1.0573,-2.0108,0.0893,-2.6021,-33.958628,18.456176,188.800
0.000,-3.14,-4.38,6.57,0.0379,0.2406,-1.0533,-2.0357,0.0943,-2.6706,-33.958700,18.456106,188.900
0.000,-0.91,-6.24,7.10,0.0059,0.2285,-1.0743,-1.9588,0.0727,-2.5971,-33.958760,18.456032,189.200
0.000,-0.38,-0.35,2.40,-0.0486,0.1883,-1.0870,-1.9211,0.1570,-2.5606,-33.958820,18.455952,188.900
0.000,-0.35,0.10,0.70,-0.0514,0.1531,-1.1174,-1.8886,0.1502,-2.6226,-33.958876,18.455852,188.900
0.000,-3.43,1.35,0.55,-0.1721,0.1596,-1.1009,-1.8192,0.1216,-2.6353,-33.958944,18.455760,189.600
0.000,1.64,-1.60,-0.22,-0.0644,0.1241,-1.0963,-1.7783,0.0980,-2.5610,-33.959004,18.455674,189.900
0.000,-4.86,6.02,-3.89,-0.0952,0.1137,-1.0754,-1.8998,0.1885,-2.5375,-33.959064,18.455588,189.300
0.000,4.42,8.28,-6.27,-0.1070,0.1202,-1.0720,-1.9035,0.2010,-2.4790,-33.959124,18.455508,188.700
0.000,1.98,-0.20,-8.13,-0.0545,0.0267,-1.1696,-1.9758,0.1439,-2.5513,-33.959192,18.455426,188.100
0.000,4.97,-0.01,0.42,-0.0349,0.2464,-1.1023,-1.9920,0.1659,-2.4148,-33.959264,18.455348,187.700
0.000,-2.15,0.62,-0.60,-0.1065,0.2125,-1.1113,-2.0733,0.1291,-2.5370,-33.959344,18.455284,187.300
0.000,2.32,1.02,-2.55,-0.0711,0.1916,-1.1230,-2.1409,0.1969,-2.5174,-33.959428,18.455222,187.100
0.000,4.45,1.26,1.06,-0.0655,0.1684,-1.0390,-2.1289,0.1647,-2.5703,-33.959500,18.455166,186.700
0.000,0.86,-0.68,-1.06,-0.0416,0.1740,-1.1196,-2.1389,0.1016,-2.5923,-33.959572,18.455120,185.900
0.000,2.05,-2.01,-0.44,-0.0525,0.1699,-1.0383,-2.1446,0.0924,-2.6103,-33.959648,18.455084,185.400
0.000,-1.17,0.74,-1.03,-0.0627,0.1384,-1.1032,-2.1335,0.0766,-2.5747,-33.959720,18.455048,185.300
0.000,0.64,3.24,2.77,-0.0827,0.1603,-1.1163,-2.1620,0.0858,-2.5874,-33.959792,18.455018,185.200
0.000,0.16,0.22,3.29,-0.0541,0.2008,-1.0870,-2.1964,0.1413,-2.5851,-33.959864,18.454982,185.200
0.000,3.62,-2.98,-0.17,-0.0690,0.1057,-1.1187,-2.1660,0.0433,-2.5770,-33.959932,18.454940,185.100
0.000,-2.98,2.53,-1.73,-0.1237,0.0454,-1.0596,-2.1688,0.0581,-2.5917,-33.959992,18.454888,184.900
0.000,-0.70,-1.35,1.52,-0.0480,0.1318,-1.1342,-2.1672,0.0727,-2.5867,-33.960044,18.454836,184.700
0.000,-3.11,0.55,3.08,-0.0623,0.1613,-1.0955,-2.1740,0.0585,-2.5810,-33.960104,18.454782,184.600
0.000,-2.76,-0.35,1.49,-0.0610,0.1363,-1.1100,-2.1261,0.0967,-2.5458,-33.960172,18.454730,184.300
0.000,2.01,-1.72,0.87,-0.0601,0.1738,-1.0654,-2.1400,0.0897,-2.5564,-33.960236,18.454680,184.000
0.000,-1.59,-3.49,-1.06,-0.0747,0.1812,-1.1140,-2.1285,0.1563,-2.5807,-33.960308,18.454602,184.600
0.000,-6.60,0.02,-3.50,-0.0625,0.1449,-1.1331,-2.1621,0.1629,-2.5521,-33.960376,18.454532,184.800
0.000,-0.90,3.97,-5.73,-0.0752,0.1260,-1.1022,-2.1865,0.2000,-2.5802,-33.960444,18.454470,184.800
0.000,0.77,4.12,-9.17,-0.1753,0.0361,-1.1901,-2.2418,0.1355,-2.5291,-33.960516,18.454408,184.700
0.000,-1.88,0.37,-5.17,-0.0855,0.0844,-1.1057,-2.3194,0.1422,-2.5416,-33.960580,18.454370,184.800
0.000,-0.53,0.72,-2.73,-0.0817,0.1076,-1.1317,-2.4102,0.0831,-2.5739,-33.960680,18.454340,184.500
0.000,-1.20,0.68,-0.69,-0.1346,0.1578,-1.0907,-2.4013,0.0694,-2.5311,-33.960768,18.454320,184.200
0.000,0.10,0.16,-1.70,-0.1457,0.1236,-1.1114,-2.4165,-0.0006,-2.6078,-33.960856,18.454292,183.200
0.000,-2.76,-0.59,-0.21,-0.1265,0.1554,-1.0881,-2.3900,0.0284,-2.5092,-33.960944,18.454276,182.800
0.000,0.13,-1.32,-0.18,-0.2379,0.1800,-1.0796,-2.3909,-0.0262,-2.5179,-33.961036,18.454254,182.100
0.000,0.41,-1.05,-0.79,-0.2665,0.2055,-1.0729,-2.4266,0.0492,-2.5742,-33.961116,18.454240,181.900
0.000,0.91,0.00,1.06,-0.2569,0.2086,-1.1009,-2.3905,0.0329,-2.5432,-33.961184,18.454234,181.300
0.000,-0.05,2.65,1.55,-0.0426,0.1084,-1.0991,-2.3353,-0.0488,-2.5434,-33.961248,18.454236,180.800
0.000,2.65,-2.55,-0.79,-0.0132,0.2214,-1.3074,-2.3429,0.1188,-2.6283,-33.961300,18.454236,180.700
0.000,0.24,2.46,0.17,0.0590,0.1314,-1.0851,-2.3819,0.1042,-2.6185,-33.961356,18.454236,180.900
0.000,1.72,-3.04,-25.93,-0.0109,0.1739,-1.1219,-2.3760,0.0721,-2.5616,-33.961420,18.454224,180.800
0.000,-1.05,0.62,2.59,-0.0479,0.1460,-1.1277,-2.3559,-0.0363,-2.6086,-33.961496,18.454214,180.100
0.000,0.28,1.14,2.21,-0.0994,0.1692,-1.0762,-2.3509,-0.0154,-2.5450,-33.961576,18.454200,179.800
0.000,-0.31,-0.61,-0.54,-0.1165,0.1596,-1.0874,-2.3351,-0.0343,-2.5402,-33.961668,18.454184,178.900
0.000,-1.72,-0.81,-0.72,-0.1219,0.1510,-1.1232,-2.3653,-0.0359,-2.5605,-33.961752,18.454162,178.600
0.000,-2.32,-0.34,1.61,-0.1576,0.2015,-1.1166,-2.3259,0.0749,-2.5732,-33.961836,18.454122,177.300
0.000,-2.85,0.41,0.73,-0.2486,0.2348,-1.0605,-2.4452,0.0632,-2.4870,-33.961916,18.454100,176.100
0.000,-2.39,0.38,-11.03,-0.1473,0.1330,-1.0842,-2.5166,0.0848,-2.5270,-33.961992,18.454076,175.000
0.000,-1.14,3.82,-11.49,-0.1034,0.0757,-1.1162,-2.5069,0.0127,-2.5916,-33.962068,18.454064,174.500
0.000,-3.48,4.00,-16.64,-0.1656,0.0469,-1.1327,-2.6389,-0.1213,-2.5991,-33.962132,18.454078,174.200
0.000,-1.86,2.78,-13.62,-0.1590,0.0454,-1.1191,-2.5299,-0.3359,-2.5830,-33.962196,18.454110,174.700
0.000,-1.14,2.35,-13.17,-0.0915,0.0181,-1.0974,-2.5500,-0.4162,-2.6796,-33.962256,18.454166,175.600
0.000,-0.61,4.32,-10.98,-0.0997,0.0424,-1.0909,-2.5570,-0.5593,-2.6530,-33.962312,18.454230,176.200
0.000,4.61,-0.80,-0.75,-0.0957,0.1497,-1.1137,-2.4604,-0.6207,-2.6332,-33.962352,18.454320,176.700
0.000,-0.43,1.01,-0.28,-0.0956,0.1291,-1.0768,-2.4539,-0.6944,-2.6660,-33.962384,18.454404,176.400
0.000,0.43,-0.49,0.51,-0.1363,0.1606,-1.1117,-2.4798,-0.6240,-2.6443,-33.962428,18.454566,171.600
